Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
62,tt0247425,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2001[/blue]
[purple]Golden Globe BP Nominee - 2001[/purple]",In the Bedroom,https://www.imdb.com/title/tt0247425/,movie,7.4,131,2001,"Crime, Drama",36541,2001-01-19,Todd Field
63,tt0120737,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2001[/blue]
[purple]Golden Globe BP Nominee - 2001[/purple]",The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/,movie,8.8,178,2001,"Action, Adventure, Drama, Fantasy",1600831,2001-12-10,Peter Jackson
64,tt0243133,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2001[/purple],The Man Who Wasn't There,https://www.imdb.com/title/tt0243133/,movie,7.5,116,2001,"Crime, Drama",101156,2001-05-13,"Ethan Coen, Joel Coen"
65,tt0203009,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2001[/blue],Moulin Rouge!,https://www.imdb.com/title/tt0203009/,movie,7.6,127,2001,"Drama, Musical, Romance",260878,2001-05-09,Baz Luhrmann
66,tt0166924,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2001[/purple],Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,8.0,147,2001,"Drama, Mystery, Thriller",307943,2001-05-16,David Lynch
67,tt0172495,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2000[/blue][/b]
[b][purple]Golden Globe BP Winner - 2000[/purple][/b]",Gladiator,https://www.imdb.com/title/tt0172495/,movie,8.5,155,2000,"Action, Adventure, Drama",1291863,2000-05-01,Ridley Scott
68,tt0249462,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2000[/purple],Billy Elliot,https://www.imdb.com/title/tt0249462/,movie,7.7,110,2000,"Drama, Music",122313,2000-05-19,Stephen Daldry
69,tt0241303,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2000[/blue],Chocolat,https://www.imdb.com/title/tt0241303/,movie,7.2,121,2000,"Drama, Romance",174092,2000-12-15,Lasse Hallström
70,tt0190332,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2000[/blue],Wo hu cang long,https://www.imdb.com/title/tt0190332/,movie,7.8,120,2000,"Action, Adventure, Fantasy, Romance",247881,2000-05-18,Ang Lee
71,tt0195685,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2000[/blue]
[purple]Golden Globe BP Nominee - 2000[/purple]",Erin Brockovich,https://www.imdb.com/title/tt0195685/,movie,7.3,131,2000,"Biography, Drama",168517,2000-03-14,Steven Soderbergh
72,tt0145503,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2000[/purple],Sunshine,https://www.imdb.com/title/tt0145503/,movie,7.5,181,1999,"Drama, History, Romance, War",12742,1999-09-13,István Szabó
73,tt0181865,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2000[/blue]
[purple]Golden Globe BP Nominee - 2000[/purple]",Traffic,https://www.imdb.com/title/tt0181865/,movie,7.6,147,2000,"Crime, Drama, Thriller",191708,2000-12-06,Steven Soderbergh
74,tt0185014,2011-05-03,2011-05-03,[purple]Golden Globe BP Nominee - 2000[/purple],Wonder Boys,https://www.imdb.com/title/tt0185014/,movie,7.3,107,2000,"Comedy, Drama",60179,2000-02-22,Curtis Hanson
